CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346,326,1,77183.6,1,1,5,115
12347,2,182,4310.0,5,5,5,555
12348,75,31,1797.24,2,3,4,234
12349,19,73,1757.55,4,4,4,444
12350,310,17,334.4,1,2,2,122
12352,36,85,2506.04,3,4,5,345
12353,204,4,89.0,1,1,1,111
12354,232,58,1079.4,1,3,4,134
12355,214,13,459.4,1,1,2,112
12356,23,59,2811.43,4,4,5,445
12357,33,131,6207.67,4,5,5,455
12358,2,19,1168.06,5,2,4,524
12359,58,248,6372.58,3,5,5,355
12360,52,129,2662.06,3,5,5,355
12361,287,10,189.9,1,1,1,111
12362,3,266,5226.23,5,5,5,555
12363,110,23,552.0,2,2,3,223
12364,8,85,1313.1,5,4,4,544
12365,291,22,641.38,1,2,3,123
12367,4,11,168.9,5,1,1,511
12370,51,167,3545.69,3,5,5,355
12371,45,63,1887.96,3,4,4,344
12372,72,52,1298.04,3,3,4,334
12373,311,14,364.6,1,1,2,112
12374,25,33,742.9300000000001,4,3,3,433
12375,11,17,457.5,5,2,2,522
12377,315,77,1628.12,1,4,4,144
12378,130,219,4008.62,2,5,5,255
12379,82,40,852.24,2,3,3,233
12380,22,104,2724.81,4,4,5,445
12381,5,87,1845.31,5,4,4,544
12383,185,99,1850.56,1,4,4,144
12384,29,27,585.27,4,2,3,423
12386,338,10,401.9,1,1,2,112
12388,16,100,2780.66,4,4,5,445
12390,80,32,549.84,2,3,3,233
12391,22,100,460.89,4,4,2,442
12393,72,64,1582.6000000000001,3,4,4,344
12394,64,27,1272.48,3,2,4,324
12395,19,156,3018.63,4,5,5,455
12397,36,126,2409.9,3,5,5,355
12398,46,85,1635.6599999999999,3,4,4,344
12399,119,59,1108.65,2,4,4,244
12401,303,5,84.3,1,1,1,111
12402,323,11,225.6,1,1,1,111
12403,50,5,427.7,3,1,2,312
12405,149,54,1710.39,2,3,4,234
12406,22,105,3415.3,4,4,5,445
12407,50,77,1708.1200000000001,3,4,4,344
12408,33,105,2888.55,4,4,5,445
12409,79,109,11072.67,2,4,5,245
12410,309,26,693.3299999999999,1,2,3,123
12412,75,61,1226.88,2,4,4,244
12413,67,38,758.1,3,3,3,333
12414,217,18,562.41,1,2,3,123
12415,24,714,124914.53,4,5,5,455
12417,3,192,3649.1,5,5,5,555
12418,113,34,668.58,2,3,3,233
12420,64,29,600.39,3,2,3,323
12421,16,45,807.04,4,3,3,433
12422,96,39,803.5600000000001,2,3,3,233
12423,1,125,1859.31,5,5,4,554
12424,163,30,1760.96,2,3,4,234
12425,78,36,777.2,2,3,3,233
12426,195,30,582.73,1,3,3,133
12427,22,31,825.8,4,3,3,433
12428,26,294,7956.46,4,5,5,455
12429,9,97,3750.4,5,4,5,545
12430,43,11,256.4,3,1,2,312
12431,36,235,6487.45,3,5,5,355
12432,43,108,5059.32,3,4,5,345
12433,1,420,13375.87,5,5,5,555
12434,85,50,806.14,2,3,3,233
12435,80,36,7829.89,2,3,5,235
12436,100,16,509.01,2,2,3,223
12437,2,199,4951.41,5,5,5,555
12438,14,98,2906.85,4,4,5,445
12441,367,11,173.55,1,1,1,111
12442,3,12,172.06,5,1,1,511
12444,21,176,5005.46,4,5,5,455
12445,22,4,133.4,4,1,1,411
12446,58,57,1002.3100000000001,3,3,4,334
12447,243,26,476.49,1,2,2,122
12448,44,22,449.45,3,2,2,322
12449,22,191,4067.29,4,5,5,455
12450,156,8,197.88,2,1,1,211
12451,11,354,9035.52,5,5,5,555
12452,17,22,430.57,4,2,2,422
12453,134,43,707.09,2,3,3,233
12454,56,15,3528.34,3,2,5,325
12455,73,90,2466.86,2,4,5,245
12456,44,125,3181.04,3,5,5,355
12457,66,62,2363.23,3,4,5,345
12458,71,38,947.4,3,3,4,334
12461,94,35,826.88,2,3,3,233
12462,19,62,1189.59,4,4,4,444
12463,53,83,1344.78,3,4,4,344
12464,10,29,1212.05,5,2,4,524
12465,17,47,742.1899999999999,4,3,3,433
12468,188,38,729.5400000000001,1,3,3,133
12471,2,460,19824.05,5,5,5,555
12472,32,339,6572.11,4,5,5,455
12473,29,168,3938.5499999999997,4,5,5,455
12474,17,424,7375.79,4,5,5,455
12475,54,36,723.38,3,3,3,333
12476,16,233,6816.42,4,5,5,455
12477,23,300,13219.74,4,5,5,455
12478,4,36,680.99,5,3,3,533
12479,11,31,527.2,5,3,3,533
12480,28,154,3281.63,4,5,5,455
12481,23,217,5596.32,4,5,5,455
12483,17,75,2484.98,4,4,5,445
12484,33,346,4541.72,4,5,5,455
12488,10,55,1298.66,5,3,4,534
12489,336,15,334.93,1,2,2,122
12490,5,245,5417.93,5,5,5,555
12491,39,26,460.40000000000003,3,2,2,322
12492,63,20,263.21000000000004,3,2,2,322
12493,166,22,433.74,2,2,2,222
12494,16,77,1246.1000000000001,4,4,4,444
12497,82,14,1043.1,2,1,4,214
12498,21,23,403.70000000000005,4,2,2,422
12500,23,61,4257.82,4,4,5,445
12501,337,149,2169.39,1,5,5,155
12502,96,147,3723.87,2,5,5,255
12504,18,9,482.04999999999995,4,1,2,412
12506,233,23,73.5,1,2,1,121
12507,134,21,1304.81,2,2,4,224
12508,26,69,398.27,4,4,2,442
12509,284,7,176.5,1,1,1,111
12510,143,33,982.5699999999999,2,3,4,234
12512,66,34,138.03,3,3,1,331
12513,113,35,612.29,2,3,3,233
12514,267,51,1017.68,1,3,4,134
12515,353,16,383.7,1,2,2,122
12516,78,26,1312.06,2,2,4,224
12517,28,284,2502.84,4,5,5,455
12518,1,124,2056.89,5,5,4,554
12519,64,18,340.84,3,2,2,322
12520,79,152,2634.26,2,5,5,255
12521,143,38,599.68,2,3,3,233
12522,39,12,192.72,3,1,1,311
12523,19,106,1789.77,4,4,4,444
12524,9,144,4485.72,5,5,5,555
12526,1,71,1316.66,5,4,4,544
12527,82,18,348.71000000000004,2,2,2,222
12528,9,92,1933.48,5,4,4,544
12530,60,66,1662.28,3,4,4,344
12531,15,17,125.22,4,2,1,421
12532,30,16,349.83000000000004,4,2,2,422
12534,131,63,1089.18,2,4,4,244
12535,92,34,716.35,2,3,3,233
12536,43,261,12601.830000000002,3,5,5,355
12538,29,21,363.95,4,2,2,422
12539,22,273,5568.35,4,5,5,455
12540,20,478,13400.24,4,5,5,455
